0101||0|Live horses, asses, mules and hinnies:|||||
||1|Other handtools (including glass cutters) and parts thereof:|||||
8205.51||2|Household tools, and parts thereof:|||||
||3|Of iron or steel:|||||
8205.51.15|00|4|Carving and butcher steels, with or without handles|No.|Free||8¢ each + 45%|
8205.51.30||4|Other (including parts)||3.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|<col1> See subheading 9902.22.92
8205.51.30|30|5|Kitchen and table implements|No.||||
8205.51.30|60|5|Other (including parts)|X||||
8205.51.45|00|3|Of copper|X|Free||40%|
8205.51.60|00|3|Of aluminum|kg|2.2¢/kg + 5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|19¢/kg + 40%|
8205.51.75|00|3|Other|X|3.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8205.59||2|Other:|||||
8205.59.10|00|3|Pipe tools, and parts thereof|X|7.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8205.59.20|00|3|Powder-actuated handtools, and parts thereof|X|Free||27.5%|
8205.59.30||3|Crowbars, track tools and wedges, and parts thereof||Free||3¢/kg|
8205.59.30|10|4|Crowbars|kg No.||||
8205.59.30|80|4|Other|kg No.||||
||3|Other:|||||
||4|Of iron or steel:|||||
8205.59.45|00|5|Caulking guns|X|5.3%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8205.59.55||5|Other||5.3%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
||6|Edged handtools:|||||
8205.59.55|05|7|Single edge razor blades other than for shaving|No.||||
8205.59.55|10|7|Other|No.||||
8205.59.55|60|6|Other (including parts)|X||||
8205.59.60|00|4|Of copper|X|Free||40%|
8205.59.70|00|4|Of aluminum|kg|1.5¢/kg + 3.5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|19¢/kg + 40%|
8205.59.80|00|4|Other|X|3.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8205.60.00|00|1|Blow torches and similar self-contained torches, and parts thereof|X|2.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8205.70.00||1|Vises, clamps and the like, and parts thereof||5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
||2|Vises:|||||
8205.70.00|30|3|Pipe|No.||||
8205.70.00|60|3|Other|No.||||
8205.70.00|90|2|Other (including parts)|No.||||
8205.90||1|Other, including sets of articles of two or more subheadings of this heading:|||||
8205.90.10|00|2|Anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; base metal parts thereof|No.|Free||6%|
8205.90.60|00|2|Sets of articles of two or more of the foregoing subheadings|pcs|The rate of duty applicable to that article in the set subject to the highest rate of duty|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|The rate of duty appli- cable to that article in the set subject to the high est rate of duty|<uq> See statistical note 1 to this chapter.
8206.00.00|00|0|Tools of two or more of headings 8202 to 8205, put up in sets for retail sale|pcs|The rate of duty applicable to that article in the set subject to the highest rate of duty|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|The rate of duty appli- cable to that article in the set subject to the high est rate of duty|<uq> See statistical note 1 to this chapter.
8207||0|Interchangeable tools for handtools, whether or not power- operated, or for machine-tools (for example, for pressing, stamping, punching, tapping, threading, drilling, boring, broaching, milling, turning or screwdriving), including dies for drawing or extruding metal, and rock drilling or earth boring tools; base metal parts thereof:|||||
||1|Rock drilling or earth boring tools, and parts thereof:|||||
8207.13.00|00|2|With working part of cermets|X|3.6%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.19||2|Other, including parts:|||||
8207.19.30||3|With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium||5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 1.6% (KR)|60%|
8207.19.30|30|4|Percussion rock drill bits|No.||||
||4|Other:|||||
8207.19.30|60|5|Rotary rock drill bits, core bits and reamers|No.||||
8207.19.30|90|5|Other|X||||
8207.19.60||3|Other||2.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35%|<col1> See heading 9817.82.01.
8207.19.60|30|4|Percussion rock drill bits|No.||||
||4|Other:|||||
8207.19.60|60|5|Rotary rock drill bits, core bits and reamers|No.||||
8207.19.60|90|5|Other|X||||
8207.20.00||1|Dies for drawing or extruding metal, and parts thereof||3.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|30%|
8207.20.00|30|2|Diamond wire drawing dies|No. Kg||||
8207.20.00|40|2|Other dies|No. Kg||||
8207.20.00|70|2|Parts|No. Kg||||
8207.30||1|Tools for pressing, stamping or punching, and parts thereof:|||||
8207.30.30||2|Suitable for cutting metal, and parts thereof||5.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.30.30|20|3|Tools|No. Kg||||
8207.30.30|50|3|Parts|No. Kg||||
8207.30.60||2|Not suitable for cutting metal, and parts thereof||2.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35%|
8207.30.60|32|3|Stamping dies not suitable for cutting metal|No. Kg||||
8207.30.60|62|3|Metal forming dies, including thread-rolling dies|No. Kg||||
8207.30.60|92|3|Other tools|No. Kg||||
8207.30.60|95|3|Parts|No. Kg||||
8207.40||1|Tools for tapping or threading, and parts thereof:|||||
8207.40.30|00|2|With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium|X|5.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.40.60|00|2|Other|X|4.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|50%|
8207.50||1|Tools for drilling, other than for rock drilling, and parts thereof:|||||
8207.50.20||2|With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium||5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.50.20|30|3|Masonry drills|X||||
||3|Twist drills:|||||
8207.50.20|45|4|Brad point|No.||||
8207.50.20|55|4|Other|No.||||
||3|Other:|||||
8207.50.20|70|4|For woodworking|No.||||
8207.50.20|80|4|Other|No.||||
||2|Other:|||||
8207.50.40||3|Suitable for cutting metal, and parts thereof||8.4%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.8% (KR)|50%|<col1> See heading 9817.82.01.
8207.50.40|30|4|Twist drills|No.||||
8207.50.40|60|4|Other|X||||
||3|Not suitable for cutting metal, and parts thereof:|||||
8207.50.60|00|4|For handtools, and parts thereof|X|5.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8207.50.80|00|4|Other|X|2.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35%|<col1> See heading 9817.82.01.
8207.60.00||1|Tools for boring or broaching, and parts thereof||4.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.60.00|30|2|Broaches|No.||||
8207.60.00|35|2|Reamers, except gun reamers|No.||||
8207.60.00|61|2|Other (including parts thereof)|No.||||
8207.70||1|Tools for milling, and parts thereof:|||||
8207.70.30||2|With cutting part containing by weight over 0.2 per- cent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium||5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.70.30|30|3|End milling cutters|No.||||
8207.70.30|40|3|Router bits for woodworking|No.||||
8207.70.30|60|3|Other|No.||||
8207.70.60||2|Other||2.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35%|<col1> See heading 9817.82.01.
8207.70.60|30|3|End milling cutters|No.||||
8207.70.60|40|3|Router bits not suitable for cutting metal|No.||||
8207.70.60|60|3|Other (including parts)|No.||||
8207.80||1|Tools for turning:|||||
8207.80.30|00|2|With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium|X|4.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.80.60|00|2|Other|X|3.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35%|<col1> See heading 9817.82.01.
8207.90||1|Other interchangeable tools, and parts thereof:|||||
8207.90.15|00|2|Files and rasps, including rotary files and rasps, and parts thereof|doz.|1.6%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|15%|
||2|Other:|||||
8207.90.30||3|Cutting tools with cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium||5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8207.90.30|30|4|Hobs and other gear cutting tools|X||||
||4|For woodworking:|||||
8207.90.30|75|5|Cutterheads with interchangeable tools|X||||
8207.90.30|80|5|Other|X||||
8207.90.30|85|4|Other|X||||
||3|Other:|||||
8207.90.45|00|4|Suitable for cutting metal, and parts thereof|X|4.8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|50%|<col1> See heading 9817.82.01.
||4|Not suitable for cutting metal, and parts thereof:|||||
8207.90.60|00|5|For handtools, and parts thereof|X|4.3%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8207.90.75||5|Other||3.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35%|<col1> See heading 9817.82.01.
8207.90.75|45|6|Cutterheads with interchangeable tools|X||||
8207.90.75|85|6|Other|X||||
8208||0|Knives and cutting blades, for machines or for mechanical appliances, and base metal parts thereof:|||||
8208.10.00||1|For metal working, and parts thereof||Free||20%|
8208.10.00|30|2|Over 30.5 cm in length, for metal shearing machines or over 15.2 cm in diameter for metal shearing/slitting machines|No.||||
8208.10.00|60|2|Other (including parts)|No.||||
8208.20.00||1|For wood working, and parts thereof||Free||20%|
8208.20.00|30|2|Over 73.7 cm in length, for veneer-cutting machines|No.||||
8208.20.00|60|2|Over 15.2 cm in length, for wood-chipper machines|No.||||
8208.20.00|90|2|Other (including parts)|No.||||
8208.30.00||1|For kitchen appliances or for machines used by the food industry, and parts thereof||Free||20%|
8208.30.00|30|2|For meat-slicing, meat-cutting or meat-chopping machines|No.||||
8208.30.00|60|2|Other (including parts)|No.||||
8208.40||1|For agricultural, horticultural or forestry machines, and parts thereof:|||||
8208.40.30|00|2|Lawnmower blades|No.|Free||20%|
8208.40.60|00|2|Other (including parts)|No.|Free||Free|
8208.90||1|Other:|||||
8208.90.30|00|2|For shoe machinery|No.|Free||Free|
8208.90.60|00|2|Other (including parts)|No.|Free||20%|
8209.00.00||0|Plates, sticks, tips and the like for tools, unmounted, of cermets||4.6%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|
8209.00.00|30|1|Of sintered metal carbides|kg||||
8209.00.00|60|1|Of other cermets|kg||||
8210.00.00|00|0|Hand-operated mechanical appliances, weighing 10 kg or less, used in the preparation, conditioning or serving of food or drink, and base metal parts thereof|No.|3.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8211||0|Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 8208, and blades and other base metal parts thereof:|||||
8211.10.00|00|1|Sets of assorted articles Other:|pcs|The rate of duty applicable to that article in the set subject to the highest rate of duty|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|The rate of duty appli- cable to that article in the set subject to the high est rate of duty|<uq> See statistical note 1 to this chapter.
8211.91||2|Table knives having fixed blades:|||||
8211.91.10|00|3|Knives with silver-plated handles|No.|Free||8¢ each + 45%|
||3|Knives with stainless steel handles:|||||
||4|With handles containing nickel or containing over 10 percent by weight of manganese:|||||
8211.91.20|00|5|Valued under 25¢ each, not over 25.9 cm in overall length|pcs.|0.4¢ each + 6.4%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|2¢ each + 45%|
8211.91.25|00|5|Other|pcs.|0.4¢ each + 6.8%|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|2¢ each + 45%|
||4|Other:|||||
8211.91.30|00|5|Valued under 25¢ each, not over 25.9 cm in overall length|pcs.|0.9¢ each + 10.6%|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 0.7¢ each + 8.4% (KR)|2¢ each + 45%|
8211.91.40|00|5|Other|pcs.|0.3¢ each + 3.7%|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|2¢ each + 45%|
8211.91.50||3|Knives with rubber or plastic handles||0.7¢ each + 3.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.91.50|30|4|Steak knives|No.||||
8211.91.50|60|4|Other|No.||||
8211.91.80||3|Other||0.3¢ each + 4.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.91.80|30|4|Steak knives|No.||||
8211.91.80|60|4|Other|No.||||
8211.92||2|Other knives having fixed blades:|||||
||3|With rubber or plastic handles:|||||
8211.92.20|00|4|Kitchen and butcher knives|No.|0.8¢ each + 4.6%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.92.40||4|Other||1¢ each + 4.6%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.92.40|50|5|Sheath-type knives|No.||||
8211.92.40|60|5|Other|No.||||
||3|Other:|||||
8211.92.60|00|4|Hunting knives with wood handles|No.|4.4%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.92.90||4|Other||0.4¢ each + 6.1%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.92.90|30|5|Kitchen and butcher knives|No.||||
8211.92.90|45|5|Sheath-type knives|No.||||
8211.92.90|60|5|Other|No.||||
8211.93.00||2|Knives having other than fixed blades||3¢ each + 5.4%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35¢ each + 55%|
8211.93.00|31|3|Folding two-handled multi-use tools in which one or more tools are housed in each handle and one or more of the tools is a folding knife blade|No.||||
8211.93.00|35|3|Pen knives, pocket knives and other knives which have folding blades|No.||||
8211.93.00|60|3|Other (including parts)|No.||||
8211.94||2|Blades:|||||
8211.94.10|00|3|For knives having fixed blades|No.|0.16¢ each + 2.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.94.50|00|3|Other|No.|1¢ each + 5.4%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|11¢ each + 55%|
8211.95||2|Handles of base metal:|||||
8211.95.10|00|3|For table knives having fixed blades|No.|0.3¢ each + 4.9%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.95.50|00|3|For other knives having fixed blades|No.|0.4¢ each + 6.1%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8211.95.90|00|3|Other|No.|3¢ each + 5.4%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|35¢ each + 55%|
8212||0|Razors and razor blades (including razor blade blanks in strips), and base metal parts thereof:|||||
8212.10.00|00|1|Razors|No.|Free||10¢ each + 30%|
8212.20.00||1|Safety razor blades, including razor blade blanks in strips||Free||1¢ each + 30%|
8212.20.00|05|2|Single edge razor blades for shaving|No.||||
8212.20.00|10|2|Other|No.||||
8212.90.00|00|1|Other parts|X|Free||27.5%|
8213.00||0|Scissors, tailors' shears and similar shears, and blades and other base metal parts thereof:|||||
8213.00.30|00|1|Valued not over $1.75/dozen|No.|1.7¢ each + 4.3%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 1.3¢ each + 3.4% (KR)|15¢ each + 45%|
||1|Valued over $1.75/dozen:|||||
8213.00.60|00|2|Pinking shears, valued over $30/dozen|No.|8¢ each + 8%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20¢ each + 45%|
8213.00.90|00|2|Other (including parts)|No.|3¢ each + 3%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 2.4¢ each + 2.4% (KR)|20¢ each + 45%|
8214||0|Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, chopping or mincing knives, paper knives); manicure or pedicure sets and instruments (including nail files); base metal parts thereof:|||||
8214.10.00|00|1|Paper knives, letter openers, erasing knives, pencil sharpeners (nonmechanical) and blades and other parts thereof|No.|0.3¢ each + 4.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8214.20||1|Manicure or pedicure sets and instruments (including nail files), and parts thereof:|||||
8214.20.30|00|2|Cuticle or cornknives, cuticle pushers, nail files, nailcleaners, nail nippers and clippers, all the fore- going used for manicure or pedicure purposes, and parts thereof|X|4%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|60%|<col1> See subheading 9902.25.52
||2|Manicure and pedicure sets, and combinations thereof:|||||
8214.20.60|00|3|In leather containers|X|Free||50%|
8214.20.90|00|3|Other|X|4.1%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|<col1> See subheading 9902.25.55
8214.90||1|Other:|||||
||2|Cleavers and the like not elsewhere specified or included:|||||
8214.90.30|00|3|Cleavers with their handles|No.|1¢ each + 4.9%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8214.90.60|00|3|Other|No.|0.2¢ each + 3.1%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8214.90.90|00|2|Other (including parts)|No.|1.4¢ each + 3.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|20¢ each + 45%|
8215||0|Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware; and base metal parts thereof:|||||
8215.10.00|00|1|Sets of assorted articles containing at least one article plated with precious metal|pcs|The rate of duty applicable to that article in the set subject to the highest rate of duty|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|The rate of duty appli- cable to that article in the set subject to the high est rate of duty|<uq> See statistical note 1 to this chapter.
8215.20.00|00|1|Other sets of assorted articles|pcs|The rate of duty applicable to that article in the set subject to the highest rate of duty|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|The rate of duty appli- cable to that article in the set subject to the high est rate of duty|<uq> See statistical note 1 to this chapter.
||1|Other:|||||
8215.91||2|Plated with precious metal:|||||
8215.91.30|00|3|Forks|No.|Free||2¢ each + 45%|
8215.91.60|00|3|Spoons and ladles|No.|4.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|50%|
8215.91.90|00|3|Other (including parts)|X|2.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8215.99||2|Other:|||||
||3|Forks:|||||
||4|With stainless steel handles:|||||
||5|With handles containing nickel or containing over 10 percent by weight of manganese:|||||
8215.99.01|00|6|Valued under 25¢ each, not over 25.9 cm in overall length|pcs.|0.9¢ each + 15.8%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 0.7¢ each + 12.6% (KR)|2¢ each + 45%|
8215.99.05|00|6|Other|pcs.|0.5¢ each + 8.5%|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|2¢ each + 45%|
||5|Other:|||||
8215.99.10|00|6|Valued under 25¢ each|pcs.|0.5¢ each + 6.3%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 0.4¢ each + 5% (KR)|2¢ each + 45%|
8215.99.15|00|6|Other|pcs.|0.4¢ each + 4.8%|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|2¢ each + 45%|
8215.99.20|00|4|With rubber or plastic handles|No.|0.5¢ each + 3.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
||4|Other:|||||
8215.99.22|00|5|Without their handles|No.|Free||8¢ each + 45%|
||5|Other:|||||
8215.99.24|00|6|Table forks (including table serving forks) and barbecue forks with wooden handles|No.|0.3¢ each + 4.5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
8215.99.26|00|6|Other|No.|0.2¢ each + 3.1%|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|8¢ each + 45%|
||3|Spoons and ladles:|||||
||4|With stainless steel handles:|||||
8215.99.30|00|5|Spoons valued under 25¢ each|pcs.|14%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 11.2% (KR)|40%|
8215.99.35|00|5|Other|pcs.|6.8%|Free (AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8215.99.40||4|With base metal (except stainless steel) or nonmetal handles||5%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8215.99.40|30|5|Tablespoons and table ladles|No||||
8215.99.40|60|5|Other|No.||||
8215.99.45|00|4|Other|No.|Free||65%|
8215.99.50|00|3|Other (including parts)|X|5.3%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|40%|
8301||0|Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys and parts of any of the foregoing articles, of base metal:|||||
8301.10||1|Padlocks:|||||
||2|Not of cylinder or pin tumbler construction:|||||
8301.10.20|00|3|Not over 3.8 cm in width|doz.|2.3%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,E,SG)|39.5%|
8301.10.40|00|3|Over 3.8 cm but not over 6.4 cm in width|doz.|3.8%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|29.5%|
8301.10.50|00|3|Over 6.4 cm in width|doz.|3.6%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|28.5%|
||2|Of cylinder or pin tumbler construction:|||||
8301.10.60|00|3|Not over 3.8 cm in width|doz.|6.1%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|27%|
8301.10.80|00|3|Over 3.8 cm but not over 6.4 cm in width|doz.|4.8%|Free (A+,AU,BH,CA,CL,CO,D,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|36%|
8301.10.90|00|3|Over 6.4 cm in width|doz.|4.2%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|29.5%|
8301.20.00||1|Locks of a kind used on motor vehicles||5.7%|Free (A,AU,B,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8301.20.00|30|2|Non-integral steering wheel immobilizer devices|doz.||||
8301.20.00|60|2|Other|kg||||
8301.30.00||1|Locks of a kind used for furniture||5.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8301.30.00|60|2|Cam locks and other locks suitable for use with chests, drawers and similar items|kg||||
8301.30.00|90|2|Other|kg||||
8301.40||1|Other locks:|||||
8301.40.30|00|2|Luggage locks|doz.|3.1%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8301.40.60||2|Other||5.7%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8301.40.60|30|3|Door locks, locksets and other locks suitable for use with interior or exterior doors (except garage, overhead or sliding doors)|kg||||
8301.40.60|60|3|Other|kg||||
8301.50.00|00|1|Clasps and frames with clasps, incorporating locks|kg|3.1%|Free (A,AU,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8301.60.00|00|1|Parts|kg|2.8%|Free (A,AU,B,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8301.70.00|00|1|Keys presented separately|kg|4.5%|Free (A,AU,B,BH,CA,CL,CO,E,IL,J,JO,KR,MA,MX,OM,P,PA,PE,SG)|45%|
8302||0|Base metal mountings, fittings and similar articles suitable for furniture, doors, staircases, windows, blinds, coachwork, saddlery, trunks, chests, caskets or the like; base metal hat racks, hat-pegs, brackets and similar fixtures; castors with mountings of base metal; automatic door closers of base metal; and base metal parts thereof:|||||
8302.10||1|Hinges, and parts thereof:|||||
||2|Of iron or steel, of aluminum or of zinc:|||||
8302.10.30|00|3|Designed for motor vehicles|kg|2%|Free (A,AU,B,BH,CA,CL,CO,E,IL,J,JO,MA,MX,OM,P,PA,PE,SG) 1.6% (KR)|25%|
